,04/16/24 Px_Mid,04/16/24 IVol_Mid,04/15/24 Px_Mid,04/15/24 IVol_Mid,04/12/24 Px_Mid,04/12/24 IVol_Mid,04/11/24 Px_Mid,04/11/24 IVol_Mid,04/10/24 Px_Mid,04/10/24 IVol_Mid,04/09/24 Px_Mid,04/09/24 IVol_Mid,04/08/24 Px_Mid,04/08/24 IVol_Mid,04/05/24 Px_Mid,04/05/24 IVol_Mid,04/04/24 Px_Mid,04/04/24 IVol_Mid,04/03/24 Px_Mid,04/03/24 IVol_Mid,04/02/24 Px_Mid,04/02/24 IVol_Mid,04/01/24 Px_Mid,04/01/24 IVol_Mid,03/28/24 Px_Mid,03/28/24 IVol_Mid,03/27/24 Px_Mid,03/27/24 IVol_Mid,03/26/24 Px_Mid,03/26/24 IVol_Mid,03/25/24 Px_Mid,03/25/24 IVol_Mid,03/22/24 Px_Mid,03/22/24 IVol_Mid,03/21/24 Px_Mid,03/21/24 IVol_Mid,03/20/24 Px_Mid,03/20/24 IVol_Mid,03/19/24 Px_Mid,03/19/24 IVol_Mid,03/18/24 Px_Mid,03/18/24 IVol_Mid,03/15/24 Px_Mid,03/15/24 IVol_Mid,03/14/24 Px_Mid,03/14/24 IVol_Mid,03/13/24 Px_Mid,03/13/24 IVol_Mid,03/12/24 Px_Mid,03/12/24 IVol_Mid,03/11/24 Px_Mid,03/11/24 IVol_Mid,03/08/24 Px_Mid,03/08/24 IVol_Mid,03/07/24 Px_Mid,03/07/24 IVol_Mid
485,20.51,20.026,21.6,20.287,27.9,20.951,34.67,21.101,30.45,14.33,36.95,24.705,36.05,21.307,35.69,19.216,31.26,20.554,37.27,20.967,36.69,19.702,39.76,18.842,40.95,18.938,41.15,19.008,37.55,19.457,38.22,17.765,39.46,16.102,41.05,18.443,39.97,19.743,35.03,16.772,32.81,17.041,30.26,16.487,33.22,15.742,34.8,16.307,35.48,16.44,31.01,16.306,31.9,17.099,33.88,15.152
490,16.11,18.913,17.25,19.319,23.25,19.609,29.81,19.355,25.71,14.779,32.09,22.616,31.22,19.681,30.92,18.193,26.61,19.187,32.45,19.367,31.89,18.315,34.91,17.507,36.09,17.575,36.29,17.663,32.74,18.002,33.42,16.573,34.67,15.329,36.24,17.214,35.2,18.399,30.37,15.823,28.25,16.071,25.8,15.588,28.67,15.13,30.19,15.311,30.87,15.5,26.6,15.612,27.47,16.315,29.38,14.494
495,12.06,17.916,13.21,18.43,18.77,18.421,25.03,17.948,21.13,14.729,27.31,20.677,26.47,18.201,26.26,17.211,22.12,17.974,27.71,17.873,27.18,17.011,30.11,16.242,31.29,16.366,31.48,16.323,28.01,16.612,28.7,15.45,29.95,14.426,31.49,16.072,30.5,17.125,25.84,14.937,23.84,15.197,21.53,14.779,24.26,14.379,25.68,14.602,26.39,14.757,22.38,14.839,23.22,15.443,25.05,13.818
497,10.56,17.568,11.71,18.094,17.05,17.995,23.14,17.355,19.34,14.604,25.42,19.965,24.6,17.592,24.43,16.831,20.37,17.477,25.83,17.327,25.32,16.498,28.21,15.772,29.39,15.797,29.56,15.825,26.15,16.078,26.85,15.035,28.08,14.146,29.62,15.639,28.65,16.637,24.08,14.596,22.12,14.84,19.88,14.474,22.55,14.093,23.93,14.277,24.64,14.435,20.74,14.555,21.58,15.099,23.36,13.545
498,9.84,17.388,10.98,17.914,16.21,17.779,22.21,17.099,18.46,14.546,24.48,19.59,23.67,17.342,23.53,16.628,19.51,17.233,24.9,17.044,24.4,16.254,27.27,15.529,28.44,15.64,28.63,15.572,25.23,15.83,25.92,14.832,27.16,14.016,28.69,15.423,27.74,16.393,23.2,14.438,21.28,14.68,19.08,14.319,21.71,13.942,23.07,14.11,23.77,14.275,19.95,14.413,20.77,14.945,22.53,13.428
499,9.14,17.207,10.27,17.754,15.38,17.558,21.29,16.842,17.6,14.478,23.55,19.239,22.75,17.054,22.63,16.438,18.67,17.02,23.98,16.78,23.49,16.026,26.33,15.31,27.5,15.396,27.68,15.344,24.31,15.571,25.01,14.616,26.24,13.838,27.77,15.225,26.82,16.163,22.33,14.277,20.45,14.523,18.28,14.175,20.87,13.825,22.22,13.958,22.92,14.112,19.17,14.28,19.97,14.793,21.68,13.262
500,8.46,17.034,9.59,17.566,14.57,17.329,20.38,16.56,16.75,14.399,22.63,18.89,21.84,16.802,21.73,16.259,17.83,16.758,23.08,16.501,22.58,15.782,25.39,15.06,26.55,15.158,26.74,15.104,23.4,15.326,24.1,14.428,25.33,13.691,26.85,15.03,25.92,15.924,21.48,14.13,19.63,14.378,17.5,14.038,20.05,13.69,21.38,13.784,22.08,13.964,18.38,14.139,19.19,14.635,20.88,13.163
501,7.81,16.853,8.91,17.405,13.76,17.152,19.45,16.336,15.91,14.309,21.71,18.543,20.93,16.563,20.85,16.072,17.0,16.573,22.16,16.237,21.67,15.565,24.46,14.832,25.62,14.942,25.81,14.87,22.5,15.081,23.19,14.225,24.43,13.556,25.94,14.809,25.02,15.697,20.64,13.968,18.81,14.207,16.73,13.9,19.24,13.557,20.57,13.632,21.24,13.821,17.62,14.006,18.42,14.486,20.09,13.049
502,7.17,16.646,8.27,17.226,12.98,16.961,18.56,16.101,15.07,14.221,20.8,18.212,20.02,16.286,19.97,15.892,16.18,16.373,21.26,15.973,20.79,15.33,23.54,14.605,24.69,14.713,24.87,14.639,21.6,14.835,22.3,14.034,23.53,13.403,25.03,14.616,24.12,15.471,19.8,13.809,18.02,14.055,15.97,13.76,18.44,13.433,19.75,13.509,20.42,13.671,16.89,13.91,17.65,14.344,19.3,12.938
503,6.57,16.468,7.65,17.041,12.2,16.767,17.67,15.855,14.26,14.133,19.9,17.895,19.14,16.035,19.11,15.715,15.38,16.159,20.37,15.733,19.91,15.104,22.62,14.379,23.76,14.501,23.95,14.396,20.71,14.6,21.41,13.851,22.64,13.26,24.13,14.422,23.24,15.265,18.98,13.662,17.23,13.929,15.22,13.624,17.65,13.3,18.93,13.378,19.61,13.541,16.15,13.781,16.9,14.188,18.52,12.835
504,5.99,16.301,7.04,16.875,11.45,16.569,16.78,15.632,13.45,14.041,19.01,17.573,18.26,15.792,18.25,15.541,14.6,15.952,19.48,15.475,19.03,14.885,21.71,14.167,22.86,14.274,23.03,14.17,19.83,14.372,20.53,13.664,21.75,13.112,23.23,14.227,22.36,15.047,18.16,13.524,16.45,13.774,14.49,13.493,16.87,13.174,18.13,13.222,18.8,13.404,15.43,13.657,16.16,13.824,17.76,12.741
505,5.44,16.115,6.47,16.685,10.71,16.378,15.91,15.409,12.67,13.944,18.12,17.246,17.39,15.582,17.41,15.367,13.82,15.761,18.61,15.237,18.16,14.683,20.81,13.966,21.95,14.076,22.12,13.958,18.95,14.139,19.67,13.482,20.88,12.958,22.35,14.041,21.49,14.836,17.36,13.377,15.69,13.634,13.78,13.364,16.11,13.054,17.35,13.082,18.01,13.275,14.72,13.536,15.43,13.679,17.02,12.653
506,4.92,15.963,5.91,16.509,9.99,16.19,15.06,15.151,11.89,13.852,17.24,16.955,16.53,15.33,16.57,15.177,13.06,15.541,17.74,15.005,17.31,14.459,19.91,13.747,21.05,13.833,21.21,13.744,18.09,13.923,18.8,13.305,20.01,12.833,21.47,13.863,20.63,14.622,16.57,13.238,14.95,13.499,13.08,13.237,15.39,12.93,16.57,12.949,17.24,13.138,14.02,13.419,14.73,13.566,16.23,12.488
507,4.43,15.788,5.38,16.332,9.29,15.99,14.21,14.953,11.16,13.736,16.38,16.654,15.68,15.093,15.75,15.011,12.31,15.366,16.88,14.775,16.47,14.261,19.02,13.549,20.16,13.655,20.32,13.54,17.24,13.72,17.95,13.141,19.16,12.686,20.61,13.681,19.78,14.433,15.79,13.104,14.22,13.367,12.4,13.119,14.65,12.811,15.81,12.822,16.47,13.015,13.35,13.304,14.03,13.452,15.51,12.414
508,3.97,15.616,4.88,16.166,8.62,15.801,13.38,14.745,10.43,13.634,15.54,16.368,14.85,14.868,14.94,14.851,11.59,15.179,16.05,14.558,15.64,14.049,18.15,13.343,19.26,13.457,19.44,13.356,16.41,13.508,17.12,12.967,18.31,12.553,19.75,13.503,18.94,14.238,15.04,12.975,13.5,13.238,11.73,13.001,13.93,12.702,15.08,12.745,15.72,12.889,12.68,13.014,13.35,13.347,14.81,12.348
509,3.53,15.446,4.4,15.982,7.97,15.595,12.56,14.54,9.71,13.517,14.7,16.095,14.02,14.637,14.14,14.671,10.88,14.999,15.21,14.329,14.82,13.858,17.27,13.154,18.39,13.253,18.56,13.129,15.58,13.306,16.3,12.813,17.48,12.43,18.9,13.339,18.12,14.046,14.29,12.85,12.8,13.11,11.09,12.889,13.23,12.594,14.35,12.655,14.98,12.783,12.03,12.926,12.7,13.244,14.12,12.279
510,3.13,15.308,3.97,15.806,7.34,15.406,11.76,14.306,9.0,13.384,13.87,15.806,13.22,14.424,13.36,14.495,10.2,14.836,14.4,14.13,14.02,13.673,16.42,12.954,17.52,13.029,17.69,12.932,14.77,13.112,15.49,12.666,16.65,12.294,18.06,13.168,17.3,13.864,13.55,12.726,12.12,12.99,10.46,12.783,12.54,12.479,13.64,12.543,14.27,12.665,11.4,12.839,12.05,13.142,13.45,12.218
511,2.76,15.159,3.54,15.637,6.72,15.208,10.98,14.097,8.35,13.281,13.06,15.549,12.42,14.214,12.61,14.364,9.53,14.647,13.6,13.915,13.23,13.481,15.58,12.766,16.67,12.832,16.83,12.76,13.98,12.924,14.69,12.505,15.85,12.165,17.23,12.987,16.49,13.691,12.84,12.612,11.45,12.877,9.84,12.674,11.86,12.365,12.94,12.426,13.56,12.563,10.79,12.756,11.43,13.039,12.79,12.157
512,2.42,14.996,3.15,15.447,6.15,15.023,10.22,13.907,7.7,13.168,12.27,15.26,11.65,14.004,11.86,14.187,8.89,14.481,12.81,13.704,12.46,13.301,14.75,12.586,15.82,12.691,15.99,12.565,13.2,12.74,13.91,12.367,15.06,12.032,16.42,12.854,15.71,13.517,12.15,12.489,10.81,12.755,9.25,12.57,11.21,12.264,12.26,12.323,12.88,12.456,10.2,12.679,10.82,12.944,12.16,12.095
513,2.1,14.855,2.79,15.264,5.59,14.823,9.48,13.718,7.07,13.044,11.49,15.021,10.9,13.813,11.13,14.028,8.27,14.315,12.04,13.516,11.71,13.131,13.93,12.412,15.0,12.525,15.16,12.381,12.44,12.558,13.15,12.221,14.28,11.922,15.63,12.699,14.94,13.349,11.47,12.381,10.18,12.645,8.68,12.469,10.57,12.168,11.6,12.219,12.21,12.357,9.63,12.605,10.23,12.853,11.53,12.038
514,1.82,14.723,2.45,15.087,5.05,14.644,8.76,13.541,6.48,12.931,10.74,14.78,10.15,13.606,10.42,13.863,7.66,14.149,11.3,13.316,10.97,12.959,13.13,12.242,14.18,12.343,14.35,12.224,11.7,12.377,12.4,12.085,13.51,11.812,14.84,12.55,14.18,13.185,10.82,12.271,9.57,12.54,8.13,12.378,9.96,12.07,10.96,12.122,11.57,12.27,9.07,12.522,9.65,12.768,10.93,11.987
515,1.57,14.565,2.14,14.92,4.55,14.458,8.07,13.369,5.91,12.836,10.0,14.534,9.44,13.413,9.72,13.701,7.09,13.999,10.57,13.144,10.26,12.782,12.35,12.073,13.39,12.186,13.55,12.081,10.97,12.212,11.67,11.947,12.77,11.702,14.08,12.414,13.44,13.025,10.18,12.172,8.99,12.438,7.6,12.274,9.36,11.975,10.33,12.015,10.94,12.176,8.54,12.455,9.11,12.687,10.35,11.939
516,1.34,14.463,1.86,14.765,4.07,14.265,7.4,13.189,5.37,12.691,9.28,14.304,8.74,13.209,9.05,13.541,6.53,13.847,9.86,12.966,9.56,12.618,11.58,11.914,12.6,12.011,12.77,11.892,10.27,12.061,10.97,11.824,12.04,11.599,13.33,12.279,12.72,12.884,9.57,12.077,8.41,12.332,7.09,12.18,8.79,11.759,9.73,11.933,10.33,11.949,8.03,12.391,8.57,12.603,9.78,11.882
517,1.15,14.347,1.61,14.644,3.62,14.061,6.76,13.021,4.85,12.562,8.59,14.064,8.07,13.025,8.39,13.37,6.0,13.699,9.18,12.809,8.9,12.456,10.83,11.751,11.85,11.827,12.0,11.732,9.59,11.931,10.27,11.705,11.33,11.501,12.6,12.146,12.01,12.742,8.97,11.984,7.88,12.242,6.61,12.094,8.23,11.669,9.15,11.732,9.74,11.883,7.53,12.323,8.07,12.522,9.24,11.834
518,0.97,14.217,1.39,14.47,3.21,13.873,6.15,12.85,4.36,12.435,7.92,13.844,7.42,12.846,7.76,13.216,5.5,13.546,8.51,12.634,8.25,12.312,10.11,11.602,11.1,11.68,11.26,11.59,8.93,11.776,9.61,11.58,10.65,11.407,11.88,12.028,11.33,12.608,8.39,11.893,7.35,12.154,6.14,12.01,7.7,11.608,8.59,11.662,9.16,11.814,7.06,12.264,7.58,12.452,8.71,11.79
519,0.82,14.132,1.19,14.362,2.82,13.7,5.56,12.674,3.9,12.311,7.27,13.632,6.8,12.68,7.15,13.077,5.02,13.405,7.87,12.466,7.62,12.156,9.4,11.455,10.37,11.565,10.54,11.453,8.3,11.639,8.97,11.48,9.98,11.307,11.19,11.916,10.66,12.473,7.84,11.803,6.86,12.068,5.69,11.926,7.19,11.546,8.04,11.599,8.63,11.76,6.6,12.23,7.1,12.432,8.21,11.741
520,0.68,14.056,1.0,14.228,2.46,13.543,5.01,12.523,3.47,12.2,6.65,13.412,6.2,12.505,6.57,12.931,4.56,13.257,7.26,12.314,7.03,12.013,8.72,11.317,9.66,11.434,9.84,11.318,7.69,11.509,8.34,11.372,9.34,11.208,10.52,11.8,10.02,12.357,7.32,11.721,6.37,11.982,5.27,11.844,6.7,11.505,7.52,11.536,8.09,11.7,6.17,12.162,6.65,12.348,7.72,11.702
521,0.57,13.967,0.85,14.09,2.13,13.347,4.48,12.362,3.08,12.079,6.05,13.215,5.63,12.339,6.03,12.778,4.14,13.141,6.66,12.165,6.45,11.883,8.07,11.185,8.99,11.294,9.15,11.186,7.11,11.392,7.75,11.271,8.72,11.133,9.86,11.688,9.4,12.23,6.81,11.639,5.92,11.904,4.87,11.762,6.23,11.448,7.02,11.479,7.59,11.648,5.76,12.097,6.22,12.281,7.29,11.666
522,0.47,13.945,0.72,13.982,1.84,13.168,3.99,12.2,2.71,11.959,5.49,13.006,5.1,12.17,5.5,12.645,3.74,13.007,6.1,12.028,5.9,11.764,7.44,11.057,8.33,11.161,8.5,11.078,6.55,11.28,7.18,11.166,8.12,11.049,9.23,11.594,8.79,12.121,6.32,11.571,5.48,11.819,4.48,11.689,5.79,11.416,6.55,11.423,7.1,11.596,5.36,12.043,5.81,12.212,6.8,11.641
523,0.39,13.906,0.6,13.893,1.58,12.996,3.53,12.046,2.37,11.853,4.96,12.826,4.59,12.016,5.0,12.512,3.37,12.874,5.57,11.891,5.4,11.637,6.84,10.933,7.71,11.035,7.87,10.967,6.02,11.171,6.64,11.074,7.55,10.97,8.62,11.5,8.21,12.006,5.87,11.503,5.06,11.749,4.12,11.617,5.36,11.339,6.09,11.398,6.64,11.545,4.98,11.986,5.41,12.146,6.37,11.598
524,0.33,13.854,0.5,13.804,1.34,12.852,3.11,11.889,2.07,11.74,4.45,12.631,4.11,11.866,4.53,12.376,3.02,12.766,5.06,11.763,4.9,11.518,6.26,10.818,7.1,10.929,7.28,10.853,5.52,11.073,6.12,10.994,6.99,10.889,8.03,11.407,7.66,11.907,5.43,11.434,4.67,11.673,3.78,11.547,4.96,11.293,5.65,11.331,6.19,11.531,4.63,11.924,5.04,12.085,5.96,11.558
525,0.28,13.849,0.42,13.763,1.13,12.728,2.72,11.752,1.79,11.646,3.98,12.461,3.67,11.719,4.08,12.259,2.69,12.649,4.6,11.653,4.45,11.417,5.71,10.711,6.52,10.817,6.7,10.75,5.05,10.994,5.63,10.916,6.47,10.819,7.47,11.32,7.13,11.808,5.01,11.364,4.3,11.605,3.46,11.479,4.58,11.225,5.24,11.279,5.77,11.473,4.29,11.876,4.68,12.013,5.54,11.515
530,0.12,14.062,0.18,13.749,0.45,12.243,1.25,11.14,0.8,11.193,2.08,11.654,1.9,11.088,2.27,11.679,1.44,12.148,2.65,11.113,2.57,10.936,3.43,10.243,4.07,10.345,4.25,10.335,3.1,10.602,3.57,10.585,4.22,10.518,5.05,10.952,4.82,11.402,3.25,11.081,2.73,11.282,2.15,11.18,2.97,10.953,3.49,11.002,3.95,11.241,2.86,11.632,3.17,11.759,3.89,11.342
535,0.06,14.642,0.09,14.237,0.18,12.185,0.5,10.75,0.32,10.968,0.93,11.023,0.86,10.573,1.12,11.187,0.71,11.787,1.37,10.69,1.35,10.573,1.87,9.9,2.33,10.006,2.5,10.057,1.77,10.366,2.11,10.351,2.59,10.31,3.21,10.682,3.09,11.077,1.98,10.84,1.64,10.994,1.25,10.937,1.83,10.729,2.2,10.793,2.58,11.04,1.82,11.42,2.06,11.551,2.36,11.183
540,0.04,15.716,0.05,15.085,0.08,12.72,0.19,10.721,0.14,11.144,0.37,10.649,0.35,10.288,0.49,10.806,0.33,11.605,0.64,10.423,0.65,10.35,0.92,9.66,1.21,9.789,1.36,9.84,0.96,10.199,1.17,10.2,1.5,10.15,1.92,10.483,1.87,10.855,1.14,10.633,0.93,10.794,0.7,10.742,1.07,10.566,1.33,10.608,1.61,10.875,1.11,11.271,1.29,11.387,1.48,11.053
545,0.03,16.911,0.04,16.184,0.05,13.384,0.09,11.165,0.07,11.62,0.15,10.686,0.14,10.302,0.21,10.627,0.15,11.601,0.29,10.279,0.3,10.266,0.43,9.561,0.6,9.661,0.68,9.748,0.49,10.173,0.61,10.12,0.82,10.088,1.1,10.368,1.06,10.648,0.62,10.519,0.51,10.659,0.38,10.669,0.61,10.481,0.77,10.503,0.98,10.781,0.66,11.177,0.79,11.281,0.88,10.993
550,0.02,17.708,0.03,17.238,0.03,14.076,0.05,11.862,0.04,12.244,0.07,10.962,0.07,10.732,0.09,10.785,0.07,11.864,0.13,10.377,0.14,10.361,0.19,9.561,0.28,9.664,0.33,9.75,0.25,10.222,0.31,10.136,0.44,10.108,0.6,10.305,0.59,10.564,0.33,10.485,0.27,10.622,0.2,10.645,0.33,10.455,0.43,10.478,0.58,10.768,0.39,11.137,0.47,11.259,0.51,10.993
555,0.02,19.358,0.03,18.864,0.02,15.274,0.03,12.569,0.03,13.217,0.04,11.564,0.04,11.298,0.05,11.27,0.04,12.241,0.07,10.771,0.08,10.813,0.09,9.756,0.14,9.841,0.16,9.872,0.13,10.389,0.16,10.225,0.23,10.184,0.32,10.37,0.31,10.539,0.18,10.54,0.15,10.724,0.11,10.764,0.18,10.474,0.25,10.513,0.35,10.852,0.23,11.237,0.28,11.268,0.28,11.046
